name,genres
Bob Scobey's Frisco Band,[]
Joseph Szigeti,"['historic classical performance', 'violin']"
Bobby Scott,[]
Deric Ruttan,"['canadian country', 'country pop']"
Billy Maxted,[]
Helmut Krebs,[]
Lucky Blondo,[]
K2S,[]
Band Of The Coldstream Guards,"['marching band', 'military band']"
Republic,"['classic hungarian pop', 'hungarian pop', 'hungarian rock', 'magyar alternative']"
Davide,[]
Brock Peters,[]
Kurt Thomas,[]
Fiesta,[]
The Band Of The Welsh Guards,['military band']
Christian Lardé,[]
LeVern Hutcherson,[]
Darnell Howard,[]
Olga James,[]
Paul Mauriat et son Orchestre,[]
